Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,p,rank,rho,rhoe,rhou,rhov,vtkValidPointMask
0,0.8000000119,0,0,0.8000000119,4.675721812e-06,0,0,4.675721812e-06,0,1.000255942,0,1.388571262,2.500639677,6.175722319e-06,0,1
1,0.8000000119,7.500000356e-05,0,0.8000000119,0.0007427390083,-9.999999975e-07,0,0.0007427397068,7.500000356e-05,1.000262976,0,1.38874507,2.500658751,0.001031267107,-9.999999975e-07,1
2,0.8000000119,0.0001500000071,0,0.8000000119,0.001493092044,-3.242778064e-07,0,0.001493092044,0.0001500000071,1.000262976,0,1.388847351,2.500659466,0.002073943382,-5.984105655e-07,1
3,0.8000000119,0.0002250000107,0,0.8000000715,0.002237978159,0,0,0.002237978159,0.0002250000107,1.000262976,0,1.388899326,2.500661373,0.003107934259,0,1
4,0.8000000119,0.0003000000142,0,0.8000000715,0.002983895363,8.786110328e-08,0,0.002983895363,0.0003000000142,1.000262976,0,1.38891685,2.500664473,0.00414434541,4.257222201e-07,1
5,0.8000000119,0.0003750000033,0,0.8000000715,0.003721338697,7.195434932e-07,0,0.003721338697,0.0003750000033,1.000262976,0,1.388907433,2.500667572,0.005168491043,8.816824106e-07,1
6,0.8000000119,0.0004500000214,0,0.8000001311,0.004464092199,9.999999975e-07,0,0.004464092199,0.0004500000214,1.000262976,0,1.388878107,2.500671625,0.006200182252,1.141611847e-06,1
7,0.8000000119,0.0005250000395,0,0.8000001907,0.005208955612,1.066774416e-06,0,0.005208955612,0.0005250000395,1.000262976,0,1.388831735,2.50067687,0.007234063931,1.738947958e-06,1
8,0.8000000119,0.0006000000285,0,0.8000002503,0.005951662548,1.487543159e-06,0,0.005951662548,0.0006000000285,1.000262976,0,1.388771415,2.500682592,0.008265607059,2.138540367e-06,1
9,0.8000000119,0.0006750000175,0,0.8000003099,0.006693304982,1.930168992e-06,0,0.006693305448,0.0006750000175,1.000262976,0,1.388697982,2.50068903,0.009295133874,2.610337788e-06,1
10,0.8000000119,0.0007500000065,0,0.8000003695,0.007435307838,2.24522114e-06,0,0.007435308304,0.0007500000065,1.000262976,0,1.388614178,2.500696421,0.0103246253,3.158599156e-06,1
11,0.8000000119,0.0008250000537,0,0.8000004292,0.008173933253,2.653570846e-06,0,0.008173933253,0.0008250000537,1.000262976,0,1.38852191,2.500704527,0.01134942193,3.65357073e-06,1
12,0.8000000119,0.0009000000427,0,0.8000004888,0.008914349601,3.107540806e-06,0,0.008914350532,0.0009000000427,1.000262976,0,1.388421178,2.500713348,0.012376667,4.198449915e-06,1
13,0.8000000119,0.0009750000318,0,0.800000608,0.009650554508,3.524680778e-06,0,0.009650555439,0.0009750000318,1.000262976,0,1.388314009,2.500722885,0.01339807175,4.841549071e-06,1
14,0.8000000119,0.001050000079,0,0.8000007272,0.01039085072,3.915306024e-06,0,0.01039085165,0.001050000079,1.000262976,0,1.388200045,2.500733376,0.01442502439,5.496128779e-06,1
15,0.8000000119,0.001125000068,0,0.8000007868,0.01112795155,4.442232239e-06,0,0.01112795249,0.001125000068,1.000262976,0,1.388079405,2.500744343,0.01544675417,6.090601801e-06,1
16,0.8000000119,0.001200000057,0,0.800000906,0.01186667569,4.979086043e-06,0,0.01186667662,0.001200000057,1.000262976,0,1.387954354,2.500756264,0.01647053473,6.772219422e-06,1
17,0.8000000119,0.001275000046,0,0.8000010252,0.01260670181,5.52012898e-06,0,0.01260670274,0.001275000046,1.000262976,0,1.387825966,2.500768423,0.01749597676,7.525302408e-06,1
18,0.8000000119,0.001350000035,0,0.8000011444,0.01334370021,6.011063761e-06,0,0.01334370114,0.001350000035,1.000262976,0,1.387691855,2.500782251,0.01851686276,8.404208529e-06,1
19,0.8000000119,0.001425000024,0,0.8000012636,0.0140801277,6.54101359e-06,0,0.01408012956,0.001425000024,1.000262976,0,1.387556076,2.500796318,0.01953679696,9.272596799e-06,1
20,0.8000000119,0.001500000013,0,0.8000014424,0.01481526904,7.159172583e-06,0,0.0148152709,0.001500000013,1.000262976,0,1.38741672,2.500811338,0.02055457979,1.01172036e-05,1
21,0.8000000119,0.001575000118,0,0.8000015616,0.01555014402,7.823262422e-06,0,0.01555014588,0.001575000118,1.000263095,0,1.387275338,2.500826836,0.02157185972,1.092926232e-05,1
22,0.8000000119,0.001650000107,0,0.8000017405,0.0162846595,8.549068298e-06,0,0.01628466137,0.001650000107,1.000263095,0,1.387131333,2.500843048,0.0225884635,1.169758161e-05,1
23,0.8000000119,0.001725000096,0,0.8000018597,0.01688094437,9.14665543e-06,0,0.01688094623,0.001725000096,1.000263095,0,1.387014031,2.500856638,0.02341371961,1.23223781e-05,1
24,0.8000000119,0.001800000085,0,0.8000020385,0.01723149046,9.516300452e-06,0,0.01723149233,0.001800000085,1.000263095,0,1.386944413,2.500864983,0.0238988027,1.269202312e-05,1
