Step, Time, RealTime, R(q[0]), R(q[1]), R(q[2]), R(q[3])
0, 0, 0.006463, 1.0, 1.0, 1.0, 1.0
0, 0, 0.006363, 1.0, 1.0, 1.0, 1.0
0, 0, 0.006455, 1.0, 1.0, 1.0, 1.0
0, 0, 0.006458, 1.0, 1.0, 1.0, 1.0
10, 0, 0.071424, 0.49111, 0.461444, 0.52277, 0.448102
20, 0, 0.134411, 0.344755, 0.327209, 0.311287, 0.308276
30, 0, 0.197942, 0.277183, 0.250042, 0.220023, 0.241124
40, 0, 0.263823, 0.219892, 0.191815, 0.174003, 0.185699
50, 0, 0.327222, 0.191436, 0.145976, 0.130567, 0.160368
60, 0, 0.38808, 0.164811, 0.108228, 0.0920756, 0.13198
70, 0, 0.479895, 0.14421, 0.0807238, 0.0666197, 0.113964
80, 0, 0.572023, 0.13189, 0.0672998, 0.047577, 0.100441
90, 0, 0.66449, 0.121276, 0.0568722, 0.0368701, 0.0903213
100, 0, 0.737953, 0.112565, 0.0540929, 0.0315041, 0.0831021
110, 0, 0.825275, 0.104793, 0.0523314, 0.0291792, 0.0769436
120, 0, 0.905592, 0.0988054, 0.0483872, 0.0285181, 0.0716127
130, 0, 0.969866, 0.0933148, 0.0446677, 0.0286268, 0.0667919
140, 0, 1.0313, 0.0884728, 0.0413368, 0.0295764, 0.063144
150, 0, 1.09589, 0.0845614, 0.0377438, 0.0300373, 0.0600207
160, 0, 1.15699, 0.0814069, 0.036238, 0.0310691, 0.0574256
170, 0, 1.22107, 0.0782132, 0.0342953, 0.0327213, 0.0555646
180, 0, 1.28642, 0.075489, 0.0366646, 0.0344853, 0.0536907
190, 0, 1.34938, 0.0723698, 0.0345869, 0.0366109, 0.050757
200, 0, 1.40725, 0.0682552, 0.0321226, 0.039908, 0.0477864
210, 0, 1.46778, 0.0639344, 0.0307283, 0.0420689, 0.0436867
220, 0, 1.53561, 0.0636764, 0.0424444, 0.0334095, 0.0459418
230, 0, 1.63488, 0.0607703, 0.0476328, 0.0323328, 0.0439206
240, 0, 1.72872, 0.0534686, 0.0406167, 0.0302985, 0.0398276
250, 0, 1.80286, 0.0494906, 0.0373374, 0.0260999, 0.0360729
260, 0, 1.87168, 0.044268, 0.0366901, 0.0235789, 0.0331865
270, 0, 1.93097, 0.0415775, 0.0322583, 0.0214985, 0.0285194
280, 0, 1.99091, 0.0380005, 0.027785, 0.0201907, 0.0260487
290, 0, 2.06435, 0.0376216, 0.0241386, 0.0176739, 0.0256408
300, 0, 2.14586, 0.0357538, 0.0201998, 0.0181561, 0.0240719
310, 0, 2.23149, 0.0339862, 0.0200882, 0.0152722, 0.0230667
320, 0, 2.2938, 0.0327987, 0.01807, 0.0138147, 0.0219061
330, 0, 2.36202, 0.0333644, 0.0162945, 0.014407, 0.0213421
340, 0, 2.42186, 0.0332362, 0.0162182, 0.0146244, 0.0214676
350, 0, 2.50832, 0.0348465, 0.0186499, 0.014968, 0.0218792
360, 0, 2.60212, 0.0343417, 0.0181732, 0.0147237, 0.0217796
370, 0, 2.67742, 0.03392, 0.0166444, 0.0148468, 0.0223193
380, 0, 2.7381, 0.0327266, 0.0186532, 0.0153235, 0.0221536
390, 0, 2.80204, 0.0333416, 0.0187965, 0.0144159, 0.021967
400, 0, 2.88814, 0.0323221, 0.0197362, 0.0143429, 0.0217088
410, 0, 2.98296, 0.0323933, 0.0207314, 0.0131699, 0.0218728
420, 0, 3.07343, 0.0309462, 0.0225443, 0.013375, 0.02091
430, 0, 3.14401, 0.0292545, 0.0200986, 0.0141967, 0.019209
440, 0, 3.21693, 0.0268093, 0.0172978, 0.0123654, 0.0181496
450, 0, 3.3031, 0.0258884, 0.016945, 0.0119123, 0.0164443
460, 0, 3.40169, 0.0235352, 0.0153472, 0.0118372, 0.0149543
470, 0, 3.47216, 0.0236657, 0.0136848, 0.0117469, 0.0152133
480, 0, 3.53802, 0.0236422, 0.0139559, 0.0108957, 0.0165528
490, 0, 3.63033, 0.0235841, 0.0132443, 0.0111989, 0.0155544
500, 0, 3.72685, 0.0225188, 0.0130807, 0.0111788, 0.0152668
510, 0, 3.82681, 0.0216539, 0.014771, 0.0106054, 0.0151591
520, 0, 3.89259, 0.0210438, 0.0144847, 0.00882409, 0.015718
530, 0, 3.96753, 0.0203835, 0.0148626, 0.00812443, 0.0139171
540, 0, 4.03434, 0.0168339, 0.0125852, 0.00859485, 0.0119812
550, 0, 4.09923, 0.0176551, 0.0109561, 0.00817443, 0.0110671
560, 0, 4.16296, 0.0173345, 0.0106661, 0.00801488, 0.0109851
570, 0, 4.23299, 0.0185771, 0.0114665, 0.00784921, 0.0105905
580, 0, 4.30893, 0.0170106, 0.00996587, 0.00750256, 0.0098491
590, 0, 4.36997, 0.0155661, 0.0103958, 0.00677433, 0.00908622
600, 0, 4.43529, 0.0147741, 0.00969467, 0.00664103, 0.00867057
610, 0, 4.50453, 0.0133708, 0.00893728, 0.00624498, 0.00805045
620, 0, 4.58474, 0.0119229, 0.00708075, 0.0061597, 0.00773686
630, 0, 4.66411, 0.010306, 0.00687183, 0.00634991, 0.0073136
640, 0, 4.72316, 0.0100791, 0.00712926, 0.0058452, 0.00723446
650, 0, 4.78484, 0.00958389, 0.00750074, 0.00462365, 0.00735118
660, 0, 4.84633, 0.00921491, 0.00743748, 0.00386015, 0.00732512
670, 0, 4.90952, 0.00866693, 0.00672373, 0.00397766, 0.00692676
680, 0, 4.96919, 0.00790397, 0.00530611, 0.00407946, 0.00619082
690, 0, 5.03164, 0.00738812, 0.0043974, 0.00355774, 0.00569373
700, 0, 5.09829, 0.00801759, 0.00387085, 0.00365973, 0.00514156
710, 0, 5.16139, 0.00787964, 0.00434152, 0.00408791, 0.00495351
720, 0, 5.22869, 0.00782654, 0.00467425, 0.0036914, 0.00520423
730, 0, 5.29464, 0.00809444, 0.0041001, 0.00346103, 0.00549766
740, 0, 5.36431, 0.00829367, 0.00398987, 0.0034275, 0.00561182
750, 0, 5.42779, 0.00892337, 0.00464936, 0.00404321, 0.00587099
760, 0, 5.52665, 0.00959936, 0.00477486, 0.00391474, 0.00637799
770, 0, 5.61658, 0.0108489, 0.00614592, 0.00436895, 0.0070405
780, 0, 5.71315, 0.0118184, 0.00711074, 0.00472176, 0.00782806
790, 0, 5.78118, 0.0125045, 0.00635123, 0.0041315, 0.0081666
800, 0, 5.86013, 0.0123972, 0.00642944, 0.00456672, 0.00774821
810, 0, 5.94696, 0.0122436, 0.00564645, 0.00499192, 0.00743105
820, 0, 6.01163, 0.0125139, 0.00575129, 0.00476401, 0.0073531
830, 0, 6.09265, 0.0122768, 0.00495691, 0.00445123, 0.00776529
840, 0, 6.18866, 0.0127112, 0.00562435, 0.00389015, 0.00815175
850, 0, 6.30328, 0.0124209, 0.00669658, 0.00443145, 0.00755733
860, 0, 6.40249, 0.0120759, 0.00715806, 0.0048952, 0.00803202
870, 0, 6.49432, 0.012321, 0.00736583, 0.00466335, 0.00709596
880, 0, 6.5949, 0.0128293, 0.00788123, 0.00454118, 0.00672361
890, 0, 6.67247, 0.0129606, 0.00910194, 0.00426621, 0.00666676
900, 0, 6.75575, 0.0113921, 0.00755876, 0.00428179, 0.0063531
910, 0, 6.83776, 0.0104473, 0.00679963, 0.00400945, 0.00588417
920, 0, 6.90303, 0.00968543, 0.00626837, 0.0038645, 0.00555939
930, 0, 6.97993, 0.00855915, 0.00559672, 0.00345441, 0.00509996
940, 0, 7.06117, 0.00749545, 0.00460979, 0.00304622, 0.00467992
950, 0, 7.16439, 0.0067343, 0.00405431, 0.00283526, 0.00417851
960, 0, 7.25591, 0.00622511, 0.00404507, 0.00281678, 0.00363858
970, 0, 7.32376, 0.00571839, 0.00363879, 0.00284647, 0.00322648
980, 0, 7.39459, 0.00553934, 0.00339997, 0.00291078, 0.00340836
990, 0, 7.46999, 0.0056097, 0.00349549, 0.00280315, 0.00370342
