Step, Time, RealTime, R(q[0]), R(q[1]), R(q[2]), R(q[3]), R(q[4])
0, 0, 0.00212, 1.0, 1.0, 1.0, 1.0, 1.0
20, 0.00436702, 0.055317, 1.21547, 0.341303, 0.170391, 0.955244, 0.0614008
40, 0.00873404, 0.116508, 0.739334, 0.19744, 0.097967, 0.529597, 0.0314772
60, 0.0131011, 0.176384, 0.541965, 0.142418, 0.0605838, 0.401212, 0.0207597
80, 0.0174685, 0.23782, 0.444375, 0.113121, 0.0430637, 0.335858, 0.0152675
100, 0.021836, 0.298087, 0.525955, 0.0950533, 0.0561792, 0.459746, 0.01197
120, 0.0262034, 0.356433, 0.292162, 0.0811739, 0.0392513, 0.214161, 0.00970614
140, 0.0305708, 0.416599, 0.247976, 0.0714575, 0.0182085, 0.18064, 0.00812581
160, 0.0349382, 0.479648, 0.226511, 0.0639185, 0.0161845, 0.16687, 0.00695246
180, 0.0393056, 0.537612, 0.202601, 0.0578455, 0.0149067, 0.149619, 0.00604396
200, 0.043673, 0.59533, 0.170269, 0.0528012, 0.0262929, 0.123726, 0.00532113
220, 0.0480404, 0.657086, 0.17001, 0.0487182, 0.0158754, 0.124555, 0.00474188
240, 0.0524075, 0.725187, 0.165216, 0.0452279, 0.00957761, 0.122766, 0.00426486
260, 0.0567746, 0.788645, 0.172551, 0.0422455, 0.0120084, 0.132515, 0.0038614
280, 0.0611418, 0.891262, 0.141073, 0.0394929, 0.011204, 0.10546, 0.00351584
300, 0.0655093, 0.964442, 0.141448, 0.0372173, 0.0105666, 0.106018, 0.00322321
320, 0.0698766, 1.04104, 0.132919, 0.0351391, 0.0107175, 0.0998335, 0.00296715
340, 0.0742437, 1.10499, 0.122334, 0.0332778, 0.00996685, 0.0902649, 0.00274261
360, 0.0786109, 1.16811, 0.115417, 0.0316124, 0.011299, 0.0842109, 0.00254465
380, 0.0829782, 1.23085, 0.102164, 0.0300815, 0.00831689, 0.0730813, 0.00236942
400, 0.0873455, 1.29468, 0.108919, 0.0287723, 0.00800667, 0.0799991, 0.00221575
420, 0.0917126, 1.35894, 0.100241, 0.0275119, 0.0077625, 0.0725544, 0.00207473
440, 0.0960797, 1.41711, 0.0951667, 0.0263672, 0.00661119, 0.0685692, 0.00194821
460, 0.100447, 1.47747, 0.0930547, 0.0253239, 0.00683581, 0.0671743, 0.00183382
